Time	Start	Mid	End	Avg	Name	Word	Vowel	f1	f2	f3
0.005	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav		<p:>	--undefined--	--undefined--	--undefined--
0.754989583333333:0.809989583333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	Z e~	Z	462.6926047856319	2089.0269084815873	3356.617319943877
0.814989583333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	Z e~	e~	409.8550895715811	1640.2552870253467	3198.7739227064667
0.827489583333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	Z e~	e~	408.51480408726627	1518.5942873043823	3208.8943845656363
0.839989583333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	Z e~	e~	423.4036316249119	1371.984033789453	3250.3043855247392
0.814989583333333:0.839989583333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	Z e~	e~	409.8333657974604	1557.2400509697861	3207.4090670236114
0.844989583333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v e l i	v	433.7551717961596	1306.6126716088324	3256.248081276979
0.862489583333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v e l i	v	522.753513885426	1211.0451327892463	3200.363905659131
0.879989583333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v e l i	v	573.7168108583561	1288.7965683752168	3052.6260233323064
0.844989583333333:0.879989583333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v e l i	v	497.8022645345556	1243.4523250523566	3216.23377037777
0.884989583333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v e l i	e	577.9493793000454	1324.7611887334783	2947.033379712087
0.897489583333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v e l i	e	576.2731048727068	1417.2372128945087	2760.483837839334
0.909989583333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v e l i	e	562.9366075732772	1465.7316398576202	2886.834972334767
0.884989583333333:0.909989583333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v e l i	e	576.2995214020759	1385.8480580615876	2832.9610846245896
0.914989583333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v e l i	l	558.8896988906913	1479.296606134023	2978.3152497973583
0.9324895833333331	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v e l i	l	560.5711974493662	1582.464175625549	3134.7094186326913
0.949989583333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v e l i	l	489.15711391975094	1775.454721573914	3137.214228748315
0.914989583333333:0.949989583333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v e l i	l	555.3137759393306	1566.7383932432147	3093.848313520523
0.9549895833333331	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v e l i	i	450.2673061620486	1821.885658934055	3125.8598035575806
1.0174895833333315	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v e l i	i	489.15622107525303	1805.3874546487948	3120.2255170715734
1.07998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v e l i	i	1022.5778668815267	1569.9805460776133	2865.887334261808
0.9549895833333331:1.07998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v e l i	i	467.42137177319535	1799.051647697604	3100.5569025269037
1.0849895833333298	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k 1 k	k	1307.9049353519456	1627.928419485214	2846.676427463239
1.1074895833333298	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k 1 k	k	914.8352167750145	1390.5395651522292	2628.473267494544
1.12998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k 1 k	k	405.7010726520961	1465.1596306369267	2761.738753010478
1.0849895833333298:1.12998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k 1 k	k	972.4808829926508	1483.04704233995	2716.1712736199174
1.1349895833333299	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k 1 k	1	389.1627771856708	1452.7487562554124	2774.323273795219
1.19748958333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k 1 k	1	373.3780068831912	1393.3353482969044	2843.913783618201
1.25998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k 1 k	1	451.7499896267655	1374.5209792716737	2900.464678133691
1.1349895833333299:1.25998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k 1 k	1	379.14475140093845	1421.4330927822266	2826.4141442003092
1.26498958333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k 1 k	k	466.7890882386978	1365.406027010755	2925.368954910777
1.27748958333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k 1 k	k	439.8149452456304	1335.575623629827	2995.685737230226
1.28998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k 1 k	k	406.3576076265066	1199.6201453120093	3058.857029859458
1.26498958333333:1.28998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	k 1 k	k	447.8664309352404	1342.5478773766527	2973.58566334036
1.2949895833333298	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	l u n	l	395.01658159276593	1112.6962612499763	3070.217592749479
1.3224895833333299	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	l u n	l	357.1354371754206	911.8940170913644	3081.5890903081954
1.34998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	l u n	l	617.2888829612776	935.6472037639737	3230.7649627212463
1.2949895833333298:1.34998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	l u n	l	368.255483831615	949.8674117148735	3089.1809863015933
1.3549895833333299	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	l u n	u	754.437259217537	1057.9640786573818	3317.877305101698
1.38748958333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	l u n	u	724.7631130355134	1872.3642702192844	3495.135106375341
1.41998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	l u n	u	397.4829143785587	994.5447056783509	2586.5320910519717
1.3549895833333299:1.41998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	l u n	u	687.4873763037185	1665.361674242878	3369.0693341800006
1.42498958333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	l u n	n	380.37850700689734	1044.9214901494702	2624.032950830649
1.4374895833333299	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	l u n	n	376.74921215299787	1297.317893164357	2690.94744584116
1.44998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	l u n	n	306.5700588747636	1571.5172420854683	2664.439222221502
1.42498958333333:1.44998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	l u n	n	377.35968392375656	1227.747769835947	2666.0512713334097
1.45498958333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v	v	443.42835651540855	1735.1912982535257	2792.9848329244946
1.4674895833333301	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v	v	1410.41893937317	2612.0842772522255	3579.730982611881
1.47998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v	v	1413.1021574823656	2622.389454081611	3578.7228443275553
1.45498958333333:1.47998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	v	v	1044.5250653837184	2281.287983406712	3280.584258898885
1.48498958333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	S o k e~	S	1410.207935287324	2618.8108596546554	3588.4856476199457
1.53248958333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	S o k e~	S	1450.1894960341128	2636.5680143323766	3585.7996656681707
1.57998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	S o k e~	S	674.7668416649933	1102.2968877983617	2723.5503136908746
1.48498958333333:1.57998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	S o k e~	S	1312.5871353489438	2504.0425663187552	3543.7332251646944
1.5849895833333298	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	S o k e~	o	621.1876211805737	1145.2900214427113	2748.960155024679
1.64248958333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	S o k e~	o	579.9170453197758	973.2995567803591	2809.262562513809
1.69998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	S o k e~	o	668.0109536025722	1868.0412312934295	3030.5856394453926
1.5849895833333298:1.69998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	S o k e~	o	588.3894797097646	1029.1511274490326	2821.05648400301
1.70498958333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	S o k e~	k	672.9749251878152	2523.5135857343453	3044.3886126597213
1.7174895833333301	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	S o k e~	k	631.9341851139509	2538.594690820691	3055.1546477860593
1.72998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	S o k e~	k	597.0135427211392	2499.5882334518324	3072.689602796155
1.70498958333333:1.72998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	S o k e~	k	645.0725944823587	2537.630214052226	3052.358036716948
1.73498958333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	S o k e~	e~	595.5734817337072	2473.6163958091383	3067.251135706578
1.7924895833333299	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	S o k e~	e~	773.2830748399465	1745.5339663493899	3010.395685602948
1.84998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	S o k e~	e~	742.0415969033704	1738.5912701014272	3121.499318322174
1.73498958333333:1.84998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	S o k e~	e~	723.7527480844929	1949.426487190352	3042.0650354905347
1.8549895833333299	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	o t	o	750.8333465774273	1751.1915472381613	3124.3043182836236
1.86748958333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	o t	o	760.3770095045252	1746.6260626979206	3134.8145517972666
1.87998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	o t	o	757.7061985461278	1731.0641293388558	3135.8761573765537
1.8549895833333299:1.87998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	o t	o	756.8998270120651	1747.259682959074	3130.963649673241
1.8849895833333299	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	o t	t	752.1919574122295	1729.7514532925927	3135.569549410838
1.90748958333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	o t	t	710.0447322424886	1762.6567915239089	3185.764478991121
1.92998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	o t	t	698.1820238177125	1706.0145515434824	3138.8897221873904
